symbol,open_time,close_time,open,high,low,close,volume
BTCUSDT,2024-01-21 00:00:00,2024-01-21 03:59:59,41648.50000000,41826.97000000,41648.50000000,41719.89000000,1972.92769000
BTCUSDT,2024-01-21 04:00:00,2024-01-21 07:59:59,41719.90000000,41881.39000000,41605.00000000,41656.28000000,2810.15162000
BTCUSDT,2024-01-21 08:00:00,2024-01-21 11:59:59,41656.27000000,41729.77000000,41525.00000000,41719.40000000,2101.04396000
BTCUSDT,2024-01-21 12:00:00,2024-01-21 15:59:59,41719.39000000,41811.10000000,41500.98000000,41580.33000000,2046.50925000
BTCUSDT,2024-01-21 16:00:00,2024-01-21 19:59:59,41580.32000000,41689.65000000,41058.22000000,41197.04000000,5194.67726000
BTCUSDT,2024-01-21 20:00:00,2024-01-21 23:59:59,41197.04000000,41321.17000000,40684.00000000,41043.70000000,6720.50069000
BTCUSDT,2024-01-22 00:00:00,2024-01-22 03:59:59,41043.70000000,41047.51000000,40364.63000000,40815.99000000,8780.28420000
BTCUSDT,2024-01-22 04:00:00,2024-01-22 07:59:59,40815.92000000,41244.06000000,40350.00000000,40771.99000000,9333.27767000
BTCUSDT,2024-01-22 08:00:00,2024-01-22 11:59:59,40772.00000000,40874.99000000,39431.58000000,39820.31000000,15416.76046000
BTCUSDT,2024-01-22 12:00:00,2024-01-22 15:59:59,39820.31000000,40343.18000000,39480.00000000,39568.02000000,9980.69883000
BTCUSDT,2024-01-22 16:00:00,2024-01-22 19:59:59,39568.02000000,40118.87000000,39511.10000000,40000.44000000,4446.81496000
BTCUSDT,2024-01-22 20:00:00,2024-01-22 23:59:59,40000.43000000,40176.74000000,39665.02000000,39780.00000000,3852.36638000
BTCUSDT,2024-01-23 00:00:00,2024-01-23 03:59:59,39780.01000000,39860.00000000,38657.00000000,38845.56000000,16327.77748000
BTCUSDT,2024-01-23 04:00:00,2024-01-23 07:59:59,38845.56000000,39460.00000000,38555.00000000,39204.00000000,14222.94133000
BTCUSDT,2024-01-23 08:00:00,2024-01-23 11:59:59,39204.00000000,39654.34000000,38925.20000000,39148.07000000,11699.79651000
BTCUSDT,2024-01-23 12:00:00,2024-01-23 15:59:59,39148.07000000,39907.23000000,39032.02000000,39897.60000000,7406.93685000
BTCUSDT,2024-01-23 16:00:00,2024-01-23 19:59:59,39897.59000000,40250.00000000,39570.43000000,39614.00000000,7508.24416000
BTCUSDT,2024-01-23 20:00:00,2024-01-23 23:59:59,39614.00000000,40191.97000000,39557.01000000,39981.09000000,6508.92980000
BTCUSDT,2024-01-24 00:00:00,2024-01-24 03:59:59,39981.09000000,40555.00000000,39859.51000000,40209.34000000,6433.12337000
BTCUSDT,2024-01-24 04:00:00,2024-01-24 07:59:59,40209.34000000,40298.86000000,39766.00000000,40050.71000000,8120.72045000
BTCUSDT,2024-01-24 08:00:00,2024-01-24 11:59:59,40050.72000000,40207.00000000,39615.76000000,39803.05000000,5715.16915000
BTCUSDT,2024-01-24 12:00:00,2024-01-24 15:59:59,39803.04000000,40175.11000000,39484.19000000,40084.88000000,5007.64168000
BTCUSDT,2024-01-24 16:00:00,2024-01-24 19:59:59,40084.89000000,40178.84000000,39914.00000000,40012.01000000,3484.65910000
BTCUSDT,2024-01-24 20:00:00,2024-01-24 23:59:59,40012.01000000,40135.37000000,39792.01000000,40130.00000000,3648.17041000
BTCUSDT,2024-01-25 00:00:00,2024-01-25 03:59:59,40130.00000000,40300.24000000,39957.44000000,40178.07000000,4623.83661000
BTCUSDT,2024-01-25 04:00:00,2024-01-25 07:59:59,40178.07000000,40283.82000000,39623.40000000,39804.24000000,8152.98130000
BTCUSDT,2024-01-25 08:00:00,2024-01-25 11:59:59,39804.23000000,40044.91000000,39550.00000000,39989.25000000,7402.16761000
BTCUSDT,2024-01-25 12:00:00,2024-01-25 15:59:59,39989.25000000,39995.99000000,39637.99000000,39961.09000000,3710.30350000
BTCUSDT,2024-01-25 16:00:00,2024-01-25 19:59:59,39961.09000000,40245.00000000,39822.52000000,40067.52000000,3180.57719000
BTCUSDT,2024-01-25 20:00:00,2024-01-25 23:59:59,40067.52000000,40220.00000000,39896.84000000,39969.99000000,3394.99518000
BTCUSDT,2024-01-26 00:00:00,2024-01-26 03:59:59,39970.00000000,41348.13000000,39962.14000000,41289.52000000,11523.32786000
