pair,open_time,close_time,open,high,low,close,volume
ETHUSDT,2024-01-16 16:00:00,2024-01-16 19:59:59,2587.41000000,2592.97000000,2571.17000000,2571.43000000,48038.21750000
ETHUSDT,2024-01-16 20:00:00,2024-01-16 23:59:59,2571.43000000,2575.57000000,2551.81000000,2552.52000000,45563.84610000
ETHUSDT,2024-01-17 00:00:00,2024-01-17 03:59:59,2552.53000000,2554.06000000,2534.40000000,2542.85000000,54881.38930000
ETHUSDT,2024-01-17 04:00:00,2024-01-17 07:59:59,2542.86000000,2574.75000000,2532.67000000,2539.46000000,108148.76380000
ETHUSDT,2024-01-17 08:00:00,2024-01-17 11:59:59,2539.47000000,2544.75000000,2517.22000000,2533.29000000,63038.64120000
ETHUSDT,2024-01-17 12:00:00,2024-01-17 15:59:59,2533.29000000,2544.81000000,2506.75000000,2530.19000000,46610.48980000
ETHUSDT,2024-01-17 16:00:00,2024-01-17 19:59:59,2530.20000000,2533.44000000,2510.03000000,2529.94000000,43878.15180000
ETHUSDT,2024-01-17 20:00:00,2024-01-17 23:59:59,2529.95000000,2540.69000000,2524.72000000,2538.99000000,55578.40530000
ETHUSDT,2024-01-18 00:00:00,2024-01-18 03:59:59,2538.99000000,2550.00000000,2514.04000000,2522.41000000,71641.11170000
ETHUSDT,2024-01-18 04:00:00,2024-01-18 07:59:59,2522.42000000,2535.27000000,2503.77000000,2525.64000000,58661.44670000
ETHUSDT,2024-01-18 08:00:00,2024-01-18 11:59:59,2525.65000000,2526.15000000,2430.00000000,2439.50000000,147653.67330000
ETHUSDT,2024-01-18 12:00:00,2024-01-18 15:59:59,2439.50000000,2472.86000000,2428.56000000,2470.81000000,74677.31860000
ETHUSDT,2024-01-18 16:00:00,2024-01-18 19:59:59,2470.81000000,2474.59000000,2443.13000000,2460.40000000,56987.93410000
ETHUSDT,2024-01-18 20:00:00,2024-01-18 23:59:59,2460.40000000,2474.82000000,2456.63000000,2465.51000000,39586.05350000
ETHUSDT,2024-01-19 00:00:00,2024-01-19 03:59:59,2465.50000000,2496.62000000,2460.44000000,2488.97000000,49510.66180000
ETHUSDT,2024-01-19 04:00:00,2024-01-19 07:59:59,2488.98000000,2499.87000000,2460.37000000,2462.98000000,75418.51160000
ETHUSDT,2024-01-19 08:00:00,2024-01-19 11:59:59,2462.98000000,2504.00000000,2415.20000000,2493.37000000,160809.64530000
ETHUSDT,2024-01-19 12:00:00,2024-01-19 15:59:59,2493.37000000,2504.20000000,2481.00000000,2492.00000000,41896.19660000
ETHUSDT,2024-01-19 16:00:00,2024-01-19 19:59:59,2491.99000000,2492.00000000,2475.00000000,2481.22000000,27693.86090000
ETHUSDT,2024-01-19 20:00:00,2024-01-19 23:59:59,2481.22000000,2486.27000000,2475.29000000,2478.47000000,17455.25400000
ETHUSDT,2024-01-20 00:00:00,2024-01-20 03:59:59,2478.48000000,2480.07000000,2463.31000000,2470.59000000,26271.56690000
ETHUSDT,2024-01-20 04:00:00,2024-01-20 07:59:59,2470.58000000,2475.91000000,2458.33000000,2463.83000000,24490.79530000
ETHUSDT,2024-01-20 08:00:00,2024-01-20 11:59:59,2463.83000000,2467.81000000,2454.20000000,2461.52000000,20922.78380000
ETHUSDT,2024-01-20 12:00:00,2024-01-20 15:59:59,2461.52000000,2474.88000000,2460.20000000,2472.01000000,19786.69680000
ETHUSDT,2024-01-20 16:00:00,2024-01-20 19:59:59,2472.02000000,2481.00000000,2465.00000000,2475.42000000,19309.44760000
ETHUSDT,2024-01-20 20:00:00,2024-01-20 23:59:59,2475.43000000,2476.07000000,2466.64000000,2476.06000000,13416.83520000
ETHUSDT,2024-01-21 00:00:00,2024-01-21 03:59:59,2476.06000000,2482.18000000,2471.98000000,2473.65000000,19343.11920000
ETHUSDT,2024-01-21 04:00:00,2024-01-21 07:59:59,2473.65000000,2481.05000000,2464.08000000,2468.01000000,30747.82670000
ETHUSDT,2024-01-21 08:00:00,2024-01-21 11:59:59,2468.01000000,2478.49000000,2464.16000000,2474.26000000,18074.13710000
ETHUSDT,2024-01-21 12:00:00,2024-01-21 15:59:59,2474.27000000,2475.40000000,2452.13000000,2457.05000000,21680.80290000
ETHUSDT,2024-01-21 16:00:00,2024-01-21 19:59:59,2457.06000000,2466.10000000,2424.00000000,2437.56000000,51796.19910000
ETHUSDT,2024-01-21 20:00:00,2024-01-21 23:59:59,2437.56000000,2438.69000000,2402.50000000,2420.80000000,69828.49020000
ETHUSDT,2024-01-22 00:00:00,2024-01-22 03:59:59,2420.80000000,2420.80000000,2361.60000000,2381.34000000,112462.09150000
ETHUSDT,2024-01-22 04:00:00,2024-01-22 07:59:59,2381.34000000,2404.97000000,2353.61000000,2379.61000000,100569.77070000
ETHUSDT,2024-01-22 08:00:00,2024-01-22 11:59:59,2379.60000000,2385.08000000,2305.27000000,2321.87000000,110415.03150000
ETHUSDT,2024-01-22 12:00:00,2024-01-22 15:59:59,2321.88000000,2351.53000000,2303.59000000,2314.20000000,81266.06620000
ETHUSDT,2024-01-22 16:00:00,2024-01-22 19:59:59,2314.19000000,2342.95000000,2312.67000000,2339.16000000,50633.37380000
ETHUSDT,2024-01-22 20:00:00,2024-01-22 23:59:59,2339.16000000,2352.23000000,2316.12000000,2323.49000000,64102.03100000
ETHUSDT,2024-01-23 00:00:00,2024-01-23 03:59:59,2323.49000000,2326.83000000,2203.11000000,2218.14000000,207719.53560000
ETHUSDT,2024-01-23 04:00:00,2024-01-23 07:59:59,2218.14000000,2232.98000000,2168.07000000,2219.39000000,186789.28740000
ETHUSDT,2024-01-23 08:00:00,2024-01-23 11:59:59,2219.39000000,2232.01000000,2181.00000000,2185.70000000,116348.04000000
ETHUSDT,2024-01-23 12:00:00,2024-01-23 15:59:59,2185.69000000,2248.21000000,2183.04000000,2242.60000000,74513.06360000
ETHUSDT,2024-01-23 16:00:00,2024-01-23 19:59:59,2242.60000000,2255.66000000,2211.64000000,2213.45000000,74939.36840000
ETHUSDT,2024-01-23 20:00:00,2024-01-23 23:59:59,2213.46000000,2244.98000000,2213.15000000,2234.51000000,42061.04740000
ETHUSDT,2024-01-24 00:00:00,2024-01-24 03:59:59,2234.50000000,2264.60000000,2229.00000000,2244.16000000,55886.00940000
ETHUSDT,2024-01-24 04:00:00,2024-01-24 07:59:59,2244.16000000,2248.19000000,2218.30000000,2234.88000000,72666.95490000
ETHUSDT,2024-01-24 08:00:00,2024-01-24 11:59:59,2234.89000000,2244.52000000,2203.32000000,2213.13000000,62095.21800000
ETHUSDT,2024-01-24 12:00:00,2024-01-24 15:59:59,2213.13000000,2239.80000000,2196.12000000,2235.02000000,52202.55150000
ETHUSDT,2024-01-24 16:00:00,2024-01-24 19:59:59,2235.02000000,2239.60000000,2206.32000000,2216.88000000,37868.14150000
ETHUSDT,2024-01-24 20:00:00,2024-01-24 23:59:59,2216.88000000,2227.71000000,2203.37000000,2227.64000000,29131.22770000
ETHUSDT,2024-01-25 00:00:00,2024-01-25 03:59:59,2227.64000000,2242.89000000,2216.75000000,2231.59000000,51727.12680000
ETHUSDT,2024-01-25 04:00:00,2024-01-25 07:59:59,2231.59000000,2234.20000000,2181.91000000,2188.00000000,77392.89430000
ETHUSDT,2024-01-25 08:00:00,2024-01-25 11:59:59,2188.00000000,2224.55000000,2171.30000000,2218.21000000,89742.57970000
ETHUSDT,2024-01-25 12:00:00,2024-01-25 15:59:59,2218.22000000,2231.65000000,2212.23000000,2218.64000000,44564.63610000
ETHUSDT,2024-01-25 16:00:00,2024-01-25 19:59:59,2218.64000000,2237.80000000,2211.12000000,2223.42000000,35294.64910000
ETHUSDT,2024-01-25 20:00:00,2024-01-25 23:59:59,2223.41000000,2229.60000000,2195.84000000,2197.47000000,46685.73790000
ETHUSDT,2024-01-26 00:00:00,2024-01-26 03:59:59,2197.46000000,2260.66000000,2195.99000000,2254.02000000,93994.32410000
ETHUSDT,2024-01-26 04:00:00,2024-01-26 07:59:59,2254.02000000,2265.19000000,2234.46000000,2257.90000000,71448.45670000
ETHUSDT,2024-01-26 08:00:00,2024-01-26 11:59:59,2257.89000000,2282.36000000,2251.07000000,2258.51000000,83899.11790000
ETHUSDT,2024-01-26 12:00:00,2024-01-26 15:59:59,2258.51000000,2272.00000000,2252.49000000,2267.68000000,32244.13980000
ETHUSDT,2024-01-26 16:00:00,2024-01-26 19:59:59,2267.67000000,2282.94000000,2265.23000000,2274.13000000,29021.00200000
ETHUSDT,2024-01-26 20:00:00,2024-01-26 23:59:59,2274.13000000,2276.56000000,2253.41000000,2258.45000000,23564.10300000
ETHUSDT,2024-01-27 00:00:00,2024-01-27 03:59:59,2258.45000000,2271.49000000,2251.40000000,2265.48000000,26251.63500000
ETHUSDT,2024-01-27 04:00:00,2024-01-27 07:59:59,2265.48000000,2275.10000000,2262.13000000,2270.18000000,20075.00440000
ETHUSDT,2024-01-27 08:00:00,2024-01-27 11:59:59,2270.18000000,2277.49000000,2261.35000000,2272.69000000,20371.06440000
ETHUSDT,2024-01-27 12:00:00,2024-01-27 15:59:59,2272.70000000,2275.69000000,2261.47000000,2267.94000000,25826.57480000
ETHUSDT,2024-01-27 16:00:00,2024-01-27 19:59:59,2267.94000000,2289.00000000,2263.00000000,2287.17000000,33602.04180000
ETHUSDT,2024-01-27 20:00:00,2024-01-27 23:59:59,2287.17000000,2308.24000000,2281.81000000,2282.92000000,41971.81640000
ETHUSDT,2024-01-28 00:00:00,2024-01-28 03:59:59,2282.91000000,2301.41000000,2276.97000000,2281.08000000,38463.39150000
ETHUSDT,2024-01-28 04:00:00,2024-01-28 07:59:59,2281.08000000,2286.08000000,2261.91000000,2270.17000000,36587.28980000
ETHUSDT,2024-01-28 08:00:00,2024-01-28 11:59:59,2270.17000000,2276.00000000,2245.03000000,2253.89000000,31196.02330000
ETHUSDT,2024-01-28 12:00:00,2024-01-28 15:59:59,2253.88000000,2266.41000000,2239.89000000,2256.90000000,27506.34590000
ETHUSDT,2024-01-28 16:00:00,2024-01-28 19:59:59,2256.90000000,2278.19000000,2250.57000000,2272.11000000,32243.91030000
ETHUSDT,2024-01-28 20:00:00,2024-01-28 23:59:59,2272.11000000,2274.23000000,2258.28000000,2259.40000000,26255.55570000
ETHUSDT,2024-01-29 00:00:00,2024-01-29 03:59:59,2259.39000000,2277.00000000,2253.98000000,2264.17000000,35480.67210000
ETHUSDT,2024-01-29 04:00:00,2024-01-29 07:59:59,2264.17000000,2275.93000000,2233.80000000,2275.80000000,65353.69790000
ETHUSDT,2024-01-29 08:00:00,2024-01-29 11:59:59,2275.81000000,2315.45000000,2265.54000000,2293.46000000,104403.97700000
ETHUSDT,2024-01-29 12:00:00,2024-01-29 15:59:59,2293.46000000,2322.34000000,2292.21000000,2317.60000000,41790.26460000
ETHUSDT,2024-01-29 16:00:00,2024-01-29 19:59:59,2317.61000000,2327.97000000,2304.00000000,2311.40000000,47782.99340000
ETHUSDT,2024-01-29 20:00:00,2024-01-29 23:59:59,2311.40000000,2314.69000000,2301.00000000,2309.29000000,33422.54830000
ETHUSDT,2024-01-30 00:00:00,2024-01-30 03:59:59,2309.30000000,2318.22000000,2302.82000000,2314.01000000,31528.55930000
ETHUSDT,2024-01-30 04:00:00,2024-01-30 07:59:59,2314.00000000,2347.55000000,2297.00000000,2340.91000000,105850.50050000
ETHUSDT,2024-01-30 08:00:00,2024-01-30 11:59:59,2340.91000000,2381.00000000,2335.73000000,2374.93000000,102121.77920000
ETHUSDT,2024-01-30 12:00:00,2024-01-30 15:59:59,2374.93000000,2391.98000000,2337.06000000,2343.01000000,52173.19840000
ETHUSDT,2024-01-30 16:00:00,2024-01-30 19:59:59,2343.00000000,2351.60000000,2327.27000000,2342.91000000,52908.76970000
ETHUSDT,2024-01-30 20:00:00,2024-01-30 23:59:59,2342.90000000,2344.55000000,2330.00000000,2340.84000000,33082.35670000
ETHUSDT,2024-01-31 00:00:00,2024-01-31 03:59:59,2340.84000000,2343.52000000,2280.77000000,2300.18000000,80945.52620000
ETHUSDT,2024-01-31 04:00:00,2024-01-31 07:59:59,2300.18000000,2333.00000000,2291.69000000,2329.42000000,75344.09540000
ETHUSDT,2024-01-31 08:00:00,2024-01-31 11:59:59,2329.42000000,2350.30000000,2309.51000000,2323.38000000,84379.65310000
ETHUSDT,2024-01-31 12:00:00,2024-01-31 15:59:59,2323.39000000,2324.67000000,2263.57000000,2283.14000000,70455.78480000
ETHUSDT,2024-01-31 16:00:00,2024-01-31 19:59:59,2283.15000000,2289.60000000,2240.00000000,2257.21000000,68099.16040000
ETHUSDT,2024-01-31 20:00:00,2024-01-31 23:59:59,2257.20000000,2277.78000000,2251.91000000,2271.96000000,48678.68640000
ETHUSDT,2024-02-01 00:00:00,2024-02-01 03:59:59,2271.95000000,2278.12000000,2265.20000000,2266.66000000,33862.55970000
ETHUSDT,2024-02-01 04:00:00,2024-02-01 07:59:59,2266.67000000,2308.45000000,2263.20000000,2288.88000000,71094.10480000
ETHUSDT,2024-02-01 08:00:00,2024-02-01 11:59:59,2288.89000000,2311.72000000,2267.54000000,2304.79000000,61350.69400000
ETHUSDT,2024-02-01 12:00:00,2024-02-01 15:59:59,2304.79000000,2309.78000000,2287.00000000,2304.28000000,27912.24850000
ETHUSDT,2024-02-01 16:00:00,2024-02-01 19:59:59,2304.28000000,2320.48000000,2298.54000000,2301.66000000,33767.15170000
ETHUSDT,2024-02-01 20:00:00,2024-02-01 23:59:59,2301.66000000,2319.81000000,2296.87000000,2313.73000000,40604.82150000
ETHUSDT,2024-02-02 00:00:00,2024-02-02 03:59:59,2313.73000000,2319.37000000,2305.01000000,2318.36000000,30964.70910000
ETHUSDT,2024-02-02 04:00:00,2024-02-02 07:59:59,2318.36000000,2324.74000000,2281.94000000,2313.99000000,68104.12470000
ETHUSDT,2024-02-02 08:00:00,2024-02-02 11:59:59,2314.00000000,2323.88000000,2286.69000000,2301.41000000,46415.98600000
ETHUSDT,2024-02-02 12:00:00,2024-02-02 15:59:59,2301.42000000,2310.00000000,2295.05000000,2309.06000000,18373.71800000
ETHUSDT,2024-02-02 16:00:00,2024-02-02 19:59:59,2309.07000000,2329.98000000,2306.75000000,2321.45000000,33042.17710000
ETHUSDT,2024-02-02 20:00:00,2024-02-02 23:59:59,2321.45000000,2325.28000000,2313.46000000,2314.39000000,16058.75000000
ETHUSDT,2024-02-03 00:00:00,2024-02-03 03:59:59,2314.38000000,2316.39000000,2300.24000000,2303.89000000,19307.66670000
